Time, Panel Voltage, Light LUX, Turntable Bearing, Solar Azimuth, Zenith
07:56:21,8.1,965.68,-83.0,-83.34,78.77
07:56:51,8.4,975.4,-83.0,-83.24,78.7
07:57:21,8.1,987.73,-83.0,-83.14,78.62
07:57:51,8.1,996.43,-83.0,-83.04,78.54
07:58:21,8.1,1000.5,-83.0,-82.94,78.46
07:58:51,8.1,1021.54,-83.0,-82.84,78.38
07:59:21,8.1,1030.24,-83.0,-82.74,78.31
07:59:51,8.1,1044.6,-83.0,-82.65,78.23
08:00:21,8.1,1056.14,-83.0,-82.55,78.15
08:00:51,8.1,1066.65,-83.0,-82.45,78.07
