Time, Panel Voltage, Light LUX, Solar Azimuth, Bearing, Offset, Zenith
08:50:31,6.0,435.0,107.47,107.0,0.47,19.92
08:51:01,6.0,424.0,107.58,107.0,0.58,19.99
